datetime,36L44RW,36L71RW,36Q109RW,36Q153RW,36Q166RW,36Q69RW,36Q86RW,36Q88RW,36R83RW,68RW,69RW,78RW,81RW,84RW,85RW,86RW,87RW
2018-07-20 14:39:44,0,0,0,0,0,0,0,0,10.25,12.06,0,0,0,0,0,0,0
2018-07-20 14:44:44,0,0,0,4.47,0,0,2.83,0,29.42,23.93,0,11.48,0,3.77,0,0,3.04
2018-07-20 14:49:44,0,0,0,22.43,5.56,0,16.73,9.94,55.98,36.06,0,39.18,0,12.26,0,0,4.14
2018-07-20 14:54:44,96.97,31.16,43.96,183.15,122.47,23.22,128.93,25.97,270.35,150.68,118.53,248.72,92.15,113.48,4.29,12.25,11.21
2018-07-20 14:59:44,0,0,0,23.31,8.86,0,21.56,8.05,82.29,28.26,0,66.51,0,5.84,0,0,3.98
2018-07-20 15:04:44,0,0,0,4.44,0,0,4.83,0,36.26,17.3,0,26.28,0,0,0,0,2.58
2018-07-20 15:09:44,0,0,0,0,0,0,0,0,13.38,3.26,0,4.24,0,0,0,0,0
2018-07-20 15:14:44,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0
2018-07-20 15:19:44,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0
