datetime,36L44RW,36L71RW,36Q109RW,36Q153RW,36Q166RW,36Q69RW,36Q86RW,36Q88RW,36R83RW,68RW,69RW,78RW,81RW,84RW,85RW,86RW,87RW
2018-07-20 14:39:44,0,0,0,0,0,0,0,0,10.25,12.07,0,0,0,0,0,0,0
2018-07-20 14:44:44,0,0,0,4.52,0,0,2.83,0,29.51,23.99,0,11.59,0,3.85,0,0,2.97
2018-07-20 14:49:44,0,0,0,22.62,5.74,0,17.06,10.12,56.28,36.22,0,39.55,0,12.44,0,0,4.18
2018-07-20 14:54:44,96.59,31.23,43.91,182.81,122.28,23.15,128.77,25.97,270.08,150.6,118.44,248.28,91.96,113.38,4.28,12.21,11.21
2018-07-20 14:59:44,0,0,0,22.99,8.62,0,21.71,7.73,82.07,28.17,0,66.36,0,5.64,0,0,3.96
2018-07-20 15:04:44,0,0,0,4.43,0,0,5.23,0,36.45,17.3,0,26.46,0,0,0,0,2.57
2018-07-20 15:09:44,0,0,0,0,0,0,0,0,13.41,3.04,0,4.27,0,0,0,0,0
2018-07-20 15:14:44,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0
2018-07-20 15:19:44,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0
