EPASWMM Time Series Data
rain in [mm]
LO 2018 07 20 12 00 0.0
LO 2018 07 20 12 05 1.47
LO 2018 07 20 12 10 1.9
LO 2018 07 20 12 15 1.9
LO 2018 07 20 12 20 2.4
LO 2018 07 20 12 25 3.0
LO 2018 07 20 12 30 4.2
LO 2018 07 20 12 35 16.1
LO 2018 07 20 12 40 1.47
LO 2018 07 20 12 45 1.47
LO 2018 07 20 12 50 1.17
LO 2018 07 20 12 55 1.17
LO 2018 07 20 13 00 1.17
LO 2018 07 20 13 05 0.68
LO 2018 07 20 13 10 0.68
LO 2018 07 20 13 15 0.68
LO 2018 07 20 13 20 0.68
LO 2018 07 20 13 25 0.68
LO 2018 07 20 13 30 0.68
LO 2018 07 20 13 35 0.53
LO 2018 07 20 13 40 0.53
LO 2018 07 20 13 45 0.53
LO 2018 07 20 13 50 0.53
LO 2018 07 20 13 55 0.53
LO 2018 07 20 14 00 0.53
