EPASWMM Time Series Data
rain in [mm]
LO 2018 07 20 12 00 0.0
LO 2018 07 20 12 05 1.07
LO 2018 07 20 12 10 1.4
LO 2018 07 20 12 15 1.4
LO 2018 07 20 12 20 1.7
LO 2018 07 20 12 25 2.3
LO 2018 07 20 12 30 3.1
LO 2018 07 20 12 35 12.0
LO 2018 07 20 12 40 1.07
LO 2018 07 20 12 45 1.07
LO 2018 07 20 12 50 0.83
LO 2018 07 20 12 55 0.83
LO 2018 07 20 13 00 0.83
LO 2018 07 20 13 05 0.55
LO 2018 07 20 13 10 0.55
LO 2018 07 20 13 15 0.55
LO 2018 07 20 13 20 0.55
LO 2018 07 20 13 25 0.55
LO 2018 07 20 13 30 0.55
LO 2018 07 20 13 35 0.42
LO 2018 07 20 13 40 0.42
LO 2018 07 20 13 45 0.42
LO 2018 07 20 13 50 0.42
LO 2018 07 20 13 55 0.42
LO 2018 07 20 14 00 0.42
