EPASWMM Time Series Data
rain in [mm]
LO 2018 07 20 12 00 0.0
LO 2018 07 20 12 05 1.27
LO 2018 07 20 12 10 1.65
LO 2018 07 20 12 15 1.65
LO 2018 07 20 12 20 2.1
LO 2018 07 20 12 25 2.6
LO 2018 07 20 12 30 3.7
LO 2018 07 20 12 35 14.0
LO 2018 07 20 12 40 1.27
LO 2018 07 20 12 45 1.27
LO 2018 07 20 12 50 1.0
LO 2018 07 20 12 55 1.0
LO 2018 07 20 13 00 1.0
LO 2018 07 20 13 05 0.62
LO 2018 07 20 13 10 0.62
LO 2018 07 20 13 15 0.62
LO 2018 07 20 13 20 0.62
LO 2018 07 20 13 25 0.62
LO 2018 07 20 13 30 0.62
LO 2018 07 20 13 35 0.48
LO 2018 07 20 13 40 0.48
LO 2018 07 20 13 45 0.48
LO 2018 07 20 13 50 0.48
LO 2018 07 20 13 55 0.48
LO 2018 07 20 14 00 0.48
