Time,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage,Flood_Agriculture,Flood_Commercial,Flood_Industry,Flood_Infrastructure,Flood_Green Areas,Flood_Mixed Area,Flood_Residential,Flood_Water Bodies,Total Flood Area
14:29:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:34:44,0.0,0.0,0.0,0.0,1373.5783371866078,1395.6414828456852,2769.219820032293,0.0,0.0,0.0,0.0,0.0,216.40672896053923,183.21899224582978,0.0,399.625721206369
14:39:44,0.0,540.8938979945557,0.0,0.0,2150.261362963005,3583.532882168693,6274.688143126254,0.0,146.61451454886742,0.0,0.0,0.0,216.40672896053923,436.2301989033325,0.0,799.2514424127392
14:44:44,0.0,1164.2704798946356,0.0,0.0,6228.095345511522,6165.2369166698,13557.602742075956,0.0,151.29008890783433,0.0,0.0,0.0,778.2949444462857,614.417100808346,0.0,1544.002134162466
14:49:44,0.0,7608.529690067141,0.0,172.19798284267767,8924.91202461061,12808.544042776684,29514.183740297114,0.0,1167.0556811974236,0.0,125.68543573520819,0.0,778.2949444462857,1520.2779860873068,0.0,3591.314047466224
14:54:44,0.0,38730.38573353251,0.0,2117.0049242087603,24315.903285415923,95768.60852399108,160931.90246714826,0.0,4533.327621637141,0.0,1230.4154630530495,0.0,2315.0147119115413,8816.63410457308,0.0,16895.391901174815
14:59:44,0.0,42268.65546494382,0.0,2147.6389479190043,25070.19149797108,96804.490696947,166290.9766077809,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8816.63410457308,0.0,17295.017622381187
15:04:44,0.0,42718.18624928185,0.0,2161.7991999055453,25519.18333193077,97220.28973163413,167619.4585127523,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8816.63410457308,0.0,17295.017622381187
15:09:44,0.0,42726.92149126389,0.0,2161.7991999055453,25668.494565250294,97148.724260703,167705.93951712275,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8816.63410457308,0.0,17295.017622381187
15:14:44,0.0,42731.44879159912,0.0,2161.7991999055453,25745.82587516132,97182.01857877243,167821.09244543844,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8816.63410457308,0.0,17295.017622381187
15:19:44,0.0,42734.58743834878,0.0,2161.7991999055453,25799.416041544635,97205.08108832827,167900.88376812724,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8816.63410457308,0.0,17295.017622381187
