Time,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage,Flood_Agriculture,Flood_Commercial,Flood_Industry,Flood_Infrastructure,Flood_Green Areas,Flood_Mixed Area,Flood_Residential,Flood_Water Bodies,Total Flood Area
14:29:44,0.0,0.0,0.0,0.0,1186.4328696825064,1229.1198378546903,2415.5527075371965,0.0,0.0,0.0,0.0,0.0,216.40672896053923,183.21899224582978,0.0,399.625721206369
14:34:44,0.0,0.0,0.0,0.0,1882.1566809528042,1831.078289132141,3713.2349700849454,0.0,0.0,0.0,0.0,0.0,216.40672896053923,183.21899224582978,0.0,399.625721206369
14:39:44,0.0,987.5396160713193,0.0,0.0,5552.487310385286,6051.99093701839,12592.017863474994,0.0,146.61451454886742,0.0,0.0,0.0,778.2949444462857,628.1877461917471,0.0,1553.0972051869003
14:44:44,0.0,4831.498504972348,0.0,103.84747924327817,7771.091416829027,9431.40107420227,22137.83847524692,0.0,891.4644246311091,0.0,76.502128463303,0.0,778.2949444462857,905.8064409637221,0.0,2652.06793850442
14:49:44,0.0,12955.671276758432,0.0,221.10279696179433,12176.46506924262,22147.42808747692,47500.667230439765,0.0,1446.8758053746096,0.0,125.68543573520819,0.0,1085.4584171773574,2341.07948442578,0.0,4999.099142712955
14:54:44,0.0,49500.2124803699,0.0,2884.0875733681432,28936.8828197462,114943.45869951557,196264.64157299983,0.0,5241.297621710447,0.0,1514.689461586203,0.0,2714.147338271169,10131.333073927695,0.0,19601.46749549551
14:59:44,0.0,53864.37829845615,0.0,2906.0328650044758,29906.306554054943,117519.67703830768,204196.39475582325,0.0,5710.097774238288,0.0,1527.190683108185,0.0,2714.147338271169,10233.149931958846,0.0,20184.585727576487
15:04:44,0.0,54731.44849672143,0.0,2928.5338129971115,30517.55506774165,118428.53248819821,206606.0698656584,0.0,5710.097774238288,0.0,1527.190683108185,0.0,2714.147338271169,10233.149931958846,0.0,20184.585727576487
15:09:44,0.0,54987.85744667095,0.0,2935.9837355885124,30874.24960008495,118603.88322816484,207401.97401050924,0.0,5710.097774238288,0.0,1527.190683108185,0.0,2714.147338271169,10233.149931958846,0.0,20184.585727576487
15:14:44,0.0,55099.0577971598,0.0,2940.5415069707,31183.730234662624,118641.6129097766,207864.94244856972,0.0,5710.097774238288,0.0,1527.190683108185,0.0,2714.147338271169,10233.149931958846,0.0,20184.585727576487
15:19:44,0.0,55237.37548074716,0.0,2944.402333780568,31463.91737565014,118789.47249231182,208435.1676824897,0.0,5710.097774238288,0.0,1527.190683108185,0.0,2714.147338271169,10233.149931958846,0.0,20184.585727576487
