Time,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage,Flood_Agriculture,Flood_Commercial,Flood_Industry,Flood_Infrastructure,Flood_Green Areas,Flood_Mixed Area,Flood_Residential,Flood_Water Bodies,Total Flood Area
14:29:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:34:44,0.0,0.0,0.0,0.0,1373.5783371866078,1395.6414828456852,2769.219820032293,0.0,0.0,0.0,0.0,0.0,216.40672896053923,183.21899224582978,0.0,399.625721206369
14:39:44,0.0,541.1400773905369,0.0,0.0,2149.987351923971,3583.8113147550616,6274.93874406957,0.0,146.61451454886742,0.0,0.0,0.0,216.40672896053923,436.2301989033325,0.0,799.2514424127392
14:44:44,0.0,1164.46961736174,0.0,0.0,6227.655368354124,7339.258852651339,14731.383838367203,0.0,151.29008890783433,0.0,0.0,0.0,778.2949444462857,723.4186021343735,0.0,1653.0036354884935
14:49:44,0.0,7607.935549390779,0.0,172.22458986209298,8924.178213704636,14111.228299771801,30815.566652729307,0.0,1167.0556811974236,0.0,125.68543573520819,0.0,778.2949444462857,1629.2794874133342,0.0,3700.315548792252
14:54:44,0.0,38774.70831118848,0.0,2114.990242393968,24318.4576180241,97126.96613941072,162335.12231101727,0.0,4533.327621637141,0.0,1230.4154630530495,0.0,2315.0147119115413,8925.635605899108,0.0,17004.393402500842
14:59:44,0.0,42373.148112926036,0.0,2147.481256570788,25089.962724447534,98279.51772177937,167890.10981572373,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8925.635605899108,0.0,17404.019123707214
15:04:44,0.0,42818.966106915694,0.0,2161.503515349169,25537.829022192618,98709.03445083773,169227.3330952952,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8925.635605899108,0.0,17404.019123707214
15:09:44,0.0,42827.551287807124,0.0,2161.503515349169,25684.559594552593,98634.04875167577,169307.66314938467,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8925.635605899108,0.0,17404.019123707214
15:14:44,0.0,42832.05914878764,0.0,2161.503515349169,25761.55136627896,98667.19328995612,169422.3073203719,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8925.635605899108,0.0,17404.019123707214
15:19:44,0.0,42835.14177922902,0.0,2161.503515349169,25814.18019634399,98689.83973813718,169500.66522905935,0.0,4903.461792045212,0.0,1259.9070138513534,0.0,2315.0147119115413,8925.635605899108,0.0,17404.019123707214
