datetime,36L44RW,36L71RW,36Q109RW,36Q153RW,36Q166RW,36Q69RW,36Q86RW,36Q88RW,36R83RW,68RW,69RW,78RW,81RW,84RW,85RW,86RW,87RW
2018-07-20 14:29:44,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0
2018-07-20 14:34:44,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0
2018-07-20 14:39:44,0,0,0,0,0,0,0,0,18.46,8.28,0,3.52,0,0,0,0,0
2018-07-20 14:44:44,0,0,0,0,0,0,0.53,0,31.21,21.64,0,16.45,0,0,0,0,0
2018-07-20 14:49:44,0,0,0,18.35,2.1,0,13.73,7.79,56.17,32.49,0,39.91,0,8.67,0,0,3.98
2018-07-20 14:54:44,84.88,0.34,36.98,155.93,108.55,20.59,118.19,25.97,285.08,134.76,108.6,256.51,71.68,98.62,0.1,10.57,11.21
2018-07-20 14:59:44,0,0,0,12.32,0,0,4.66,0,18.12,14.17,0,15.34,0,2.71,0,0,2.9
2018-07-20 15:04:44,0,0,0,0,0,0,0,0,8.97,3.13,0,0,0,0,0,0,0
